  Month,Miðlína,VVG
2001-03,100,"108,3"
2001-04,100,"103,9"
2001-05,100,"88,1"
2001-06,100,"80,2"
2001-07,100,"78,7"
2001-08,100,"82,1"
2001-09,100,"79,5"
2001-10,100,"66,8"
2001-11,100,"61,8"
2001-12,100,"74,4"
2002-01,100,"85,6"
2002-02,100,"102,4"
2002-03,100,"101,8"
2002-04,100,"100,1"
2002-05,100,"110,9"
2002-06,100,"109,0"
2002-07,100,"104,4"
2002-08,100,"108,7"
2002-09,100,"113,5"
2002-10,100,"101,0"
2002-11,100,"107,0"
2002-12,100,"98,8"
2003-01,100,"103,1"
2003-02,100,"106,6"
2003-03,100,"115,8"
2003-04,100,"125,8"
2003-05,100,"136,8"
2003-06,100,"117,9"
2003-07,100,"112,6"
2003-08,100,"115,3"
2003-09,100,"116,8"
2003-10,100,"125,1"
2003-11,100,"121,0"
2003-12,100,"104,2"
2004-01,100,"123,7"
2004-02,100,"127,5"
2004-03,100,"132,9"
2004-04,100,"120,6"
2004-05,100,"110,5"
2004-06,100,"104,7"
2004-07,100,"113,7"
2004-08,100,"120,7"
2004-09,100,"129,4"
2004-10,100,"116,6"
2004-11,100,"111,7"
2004-12,100,"111,0"
2005-01,100,"128,9"
2005-02,100,"121,2"
2005-03,100,"127,6"
2005-04,100,"125,4"
2005-05,100,"125,6"
2005-06,100,"116,3"
2005-07,100,"128,7"
2005-08,100,"134,2"
2005-09,100,"123,4"
2005-10,100,"112,3"
2005-11,100,"122,7"
2005-12,100,"128,2"
2006-01,100,"126,5"
2006-02,100,"137,6"
2006-03,100,"127,7"
2006-04,100,"103,3"
2006-05,100,"96,1"
2006-06,100,"100,8"
2006-07,100,"88,1"
2006-08,100,"108,0"
2006-09,100,"119,6"
2006-10,100,"136,2"
2006-11,100,"118,6"
2006-12,100,"139,1"
2007-01,100,"128,6"
2007-02,100,"150,0"
2007-03,100,"144,0"
2007-04,100,"139,8"
2007-05,100,"154,9"
2007-06,100,"144,9"
2007-07,100,"124,7"
2007-08,100,"126,3"
